"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,computer service activities n.e.c,,,,,company
201,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"5,18,63,227.0600",680907.5103,Received in the company
202,STERLING CERAMICS PRIVATE LIMITED,GUJARAT,Mahesana,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic
constructional goods",Vidres SA,Spain,"5,14,15,140.0000",658538.6284,Received in the company
203,WAYCOOL FOODS AND PRODUCTS PRIVATE LIMITED,TAMIL NADU,Chennai,Wholesale of fruits & vegetables,"Huruma Fund S.C.A., SICAR – EuSEF",Luxembourg,"5,00,82,022.4800",657522.2401,Received in the company
204,"FWCLOUD TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bengaluru,"Data processing activities including
report writing",Dronebase INC.,U.S.A,"5,04,37,200.9900",652323.5594,"Received in the
Company"
205,FWCLOUD TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Data processing activities including report writing,"Dronebase, Inc.",U.S.A,"5,04,37,200.9900",652323.5594,Received in the Company
206,BEEJAPURI DAIRY PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of other dairy products n.e.c.,ELEVATION CAPITAL VI LIMITED,Mauritius,"5,09,28,012.3200",652299.3691,Received in the company
207,GARAGEPRENEURS INTERNET PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information service activities n.e.c.,Zinal Growth Partners Limited,United Kingdom,"5,04,73,481.9900",646477.6251,Received in the company
208,Mountain Trail Foods Private Limited,KARNATAKA,Bengaluru,"Cafeterias, fast-food restaurants and other food preparation in market stalls",BEHRAM KEKI DIVECHA,Oman,"5,03,39,823.9900",644765.6983,Received in the company
209,MARKETXPANDER SERVICES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",GCF-SI,Mauritius,"4,98,93,606.0000",639050.421,Received in the company
210,"EXIMMG
EDUCATIONAL CONSULTANTS",MAHARASHTRA,Mumbai,EDUCATIONAL SUPPORT SERVICES,"Sparrowhawk 3 Limited
and Oxford International Education & Travel Limited",United Kingdom,"4,82,38,188.0000",633314.7078,"Received in
the company"
,PRIVATE LIMITED,,,,,,,,
211,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"4,71,76,590.5000",619377.0924,Received in the company
212,INTERNATIONAL SOLAR CORPORATION PRIVATE LIMITED,DELHI,South Delhi,Electric power generation using solar energy,TEP SOLAR INDIA MAURITIUS,Mauritius,"4,68,68,479.0000",606167.9167,Received in the Company
213,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and maintenance to the
clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"4,54,91,982.9600",588365.1683,Received in the Company
214,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and maintenance to the
clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"4,54,91,982.9600",588365.1683,Received in the Company
215,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Internet Fund VII Pte Ltd,Singapore,"4,26,94,509.0000",552184.3705,Received in the Company
216,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"4,26,73,500.0000",551912.6531,Received in the Company
217,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"4,09,45,469.6400",537569.2831,"Received in
the company"
218,FICUS PAX PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of wooden boxes, barrels, vats, tubs,
packing cases etc.",UFP Global Holdings Limited,United Kingdom,"4,19,07,110.0000",536757.2809,Received in the company
219,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"4,10,94,090.0000",531485.5411,Received in the Company
220,LOCUSNINE INNOVATIONS PRIVATE LIMITED,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",VertoFx Ltd,United Kingdom,"4,11,11,377.3000",526565.3273,Received in the company
221,Immersive Gamitronics,TELANGANA,Hyderabad,Other information,BIG VIKING GAMES INC.,Canada,"4,04,12,716.8400",522673.0821,Received in
,Studios Pvt Ltd,,,technology and computer service activities n.e.c,,,,,the Company
222,LINKEZ TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Dharwad,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",Entrace Inc,U.S.A,"4,03,43,244.0000",521774.5634,Received in the Company
223,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Think India Opportunities Master Fund LP,Cayman Islands,"3,95,16,213.6700",518804.7137,Received in the company
224,SPI MUSIC PRIVATE LIMITED,ANDHRA PRADESH,Nellore,Activities of music publishing,believe international SARL,Luxembourg,"3,98,97,148.7300",516005.0431,Received in the Company
225,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c","DF International Partners II, LLC",Cayman Islands,"3,89,58,276.8400",503862.2548,Received in the Company
226,Indeus Life Sciences Private Limited,MAHARASHTRA,Mumbai,"Manufacture of pharmaceuticals, medicinal chemical and botanical
products",Finny Joseph,U.S.A,"3,86,89,958.0000",495551.1524,Received in the company
227,WAYCOOL FOODS AND PRODUCTS PRIVATE LIMITED,TAMIL NADU,Chennai,Wholesale of fruits & vegetables,TRIUMPH PROPERTIES PTE LTD,Singapore,"3,86,87,143.9500",495515.1093,Received in the company
228,"PROFICIENCY LEARNING SOLUTIONS
PRIVATE LIMITED",DELHI,South Delhi,EDUCATION,Al Rayan Holding Co. K.S.C.C.,Kuwait,"3,76,42,527.0000",494205.2547,"Received in the
company"
229,VASTU HOUSING FINANCE CORPORATION LIMITED,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.","Norwest Capital, LLC",U.S.A,"3,81,84,284.6000",489074.3545,Received in the company
230,ASSETGRO FINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",STOCKGRO RAZOR LLC,U.S.A,"3,78,60,996.0000",484933.5892,Received in the company
231,BLUECLOUD SERVICES,TELANGANA,Hyderabad,Other information,BLUECLOUD SERVICE INC,U.S.A,"3,64,00,000.0000",477892.2327,Received in
,PRIVATE LIMITED,,,technology and computer service activities n.e.c,,,,,the company
232,"ROOTER SPORTS
TECHNOLOGIES PRIVATE LIMITED",DELHI,South Delhi,"Other information
service activities n.e.c.",LIGHTBOX VENTURES III,Mauritius,"3,69,25,632.2400",472953.2042,"Received in
the company"
233,SUPERMARKET GROCERY SUPPLIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other non- specialised wholesale trade
n.e.c.",PANTHERA GROWTH FUND VCC- PANTHERA GROWTH I,Singapore,"3,65,79,627.0000",468521.4782,Received in the company
234,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,NHPEA Rimo Holding B.V.,Netherland,"3,55,40,826.6000",455216.2496,Received in the company
235,Malladi Drugs & Pharmaceuticals Limited,TAMIL NADU,Chennai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",Vacca Investments,Mauritius,"3,33,06,380.8000",430764.1275,Received in the Company
236,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c","VY Dharana EM Technology Fund, L.P.",UAE,"3,33,79,343.4000",427531.4046,Received in the company
237,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other fabricated metal products n.e.c.,D1 Capital Partners Master LP,Cayman Islands,"3,15,10,813.3200",413702.553,Received in the company
238,SBFC Finance Private Limited,MAHARASHTRA,Mumbai,Other credit granting,Malabar India Fund Limited,Mauritius,"3,12,53,160.0000",410319.8464,Received in the company
239,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Providing software support and maintenance to the clients,ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"3,12,84,587.5500",400701.221,Received in the company
240,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Aditya (Mauritius) Ltd,Mauritius,"3,02,40,258.4000",391108.7969,Received in the Company
241,CHEM-VERSE CONSULTANTS (INDIA) PRIVATE LIMITED,MAHARASHTRA,Raigarh(MH),"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or
bituminous minerals",MCGEAN-ROHCO HOLDINGS LLC,U.S.A,"3,03,61,460.0000",388877.5607,Received in the company
242,INKONIQ IT SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,CX100 Inc.,U.S.A,"3,00,05,000.0000",384311.9273,Received in the company
243,ASSETGRO FINTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,STOCKGRO RAZOR LLC,U.S.A,"2,99,06,000.0000",383043.9093,Received in the company
244,INDIA LUXCO RETAIL PRIVATE LIMITED,DELHI,South Delhi,"Retail sale of jewellery and
imitation jewellery",Bulgari S.p.A.,Italy,"2,98,94,508.0000",382896.7167,"Received in the
company"
245,PRUDENT ARC LIMITED,DELHI,North West Delhi,"Other financial service activities, except insurance and pension funding
activities, n.e.c.",CALLISTO OPPORTUNITY LTD,Mauritius,"2,94,00,000.0000",380241.4145,Received in the Company
246,SBFC Finance Private Limited,MAHARASHTRA,Mumbai,Other credit granting,Malabar India Fund Limited,Mauritius,"2,96,52,060.0000",379791.379,Received in the company
247,Tenerity India Private Limited,MAHARASHTRA,Pune,"Other data processing, hosting and related activities n.e.c.","CxLoyalty Group, Inc. (Formerly known as Affinion Group Inc.)",U.S.A,"2,88,91,422.1600",370048.9296,Received in the company
248,Hella Infra Market Private Limited,MAHARASHTRA,Thane,"Wholesale of construction
materials (sand, gravel etc.)",Evolvence India Fund III Ltd.,Mauritius,"2,87,79,300.0000",368612.8395,Received in the company
249,M2P SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Other information technology and computer service activities n.e.c,Insight Luxembourg XII S.a.r.l,Luxembourg,"2,75,80,200.0000",353254.4515,Received in the company
250,CORPONE STAFFING SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,Other information service activities n.e.c.,NATSOFT CORPORATION,U.S.A,"2,61,87,720.0000",343816.1533,Received in the company
251,Evermore Stock Brokers Private Limited,HARYANA,Gurgaon,Security and commodity contracts brokerage,Evermore Global DMCC,UAE,"2,63,20,250.0000",337116.6807,Received in the company
252,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"2,56,01,494.4000",336119.6516,Received in the company
253,"EUCARE PHARMACEUTICALS
Private LimiTeD",TAMIL NADU,Kanchipuram,"Manufacture of other medical and
dental instruments n.e.c.",HCP Healthcare Asia PTE Limited,Singapore,"2,59,04,540.8000",331792.168,Received in the company
254,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"2,56,04,100.0000",331147.5919,Received in the Company
255,"I-NURTURE EDUCATION SOLUTIONS PRIVATE
LIMITED",Karnataka,Bengaluru,"Higher education not leading to a degree or
equivalent",ADM Capital Limosa Fund LP,Cayman Islands,"2,54,64,320.0000",326153.7043,Received in the company
256,I-NURTURE EDUCATION SOLUTIONS PRIVATE LIMITED,Karnataka,Bengaluru,Higher education not leading to a degree or equivalent,ADM CAPITAL LIMOSA FUND LP,Cayman Islands,"2,54,64,320.0000",326153.7043,Received in the company
257,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"2,47,19,903.2000",324545.3223,Received in the company
258,RAMPEX LABS PRIVATE LIMITED,TELANGANA,Medak,"Manufacture of pharmaceuticals, medicinal chemical and botanical
products",RANGA N B GORREPATI,U.S.A,"2,51,85,888.0000",322587.474,Received in the company
259,"BUILDWEALTH TECHNOLOGIES
PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other business support service
activities n.e.c","Alpha Wave Incubation, LP",UAE,"2,42,46,500.0000",318330.0555,"Received in the
company"
260,BIZCRUM INFOTECH PRIVATE LIMITED,UTTAR PRADESH,Agra,Other non- specialised,"Matrix Partners India Investments III, LLC",Mauritius,"2,39,64,456.8400",309941.4614,Received in the
,,,,wholesale trade n.e.c.,,,,,Company
261,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Internet Fund VII Pte Ltd,Singapore,"2,38,85,040.0000",308914.3332,Received in the Company
262,MINDERA INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Other information service activities n.e.c.,THINKIT SOLUTIONS LIMITED,United Kingdom,"2,34,24,400.0000",307536.7806,Received in the company
263,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Internet Fund VII Pte Ltd,Singapore,"2,38,85,040.0000",305925.8709,Received in the company
264,MEDICA SYNERGIE PRIVATE LIMITED,WEST BENGAL,Kolkata,Hospital activities,POLARIS HEALTHCARE INVESTMENTS PTE LTD,Singapore,"2,27,00,890.8000",290758.9767,"Received in
the company"
265,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"2,21,80,410.0000",286867.7031,Received in the Company
266,VTITAN CORPORATION PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Other information technology and computer service
activities n.e.c",T&V Holdings Inc,U.S.A,"2,17,77,000.0000",285908.2184,Received in the company
267,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"2,17,38,960.0000",281158.2619,Received in the Company
268,Lister Technologies Private Limited,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,BOUNTEOUS INC.,U.S.A,"2,15,40,051.9100",278585.7077,Received in the Company
269,Weilburger Coatings (India) Private Limited,WEST BENGAL,Howrah,"Manufacture of paints, varnishes and similar coatings, printing ink and
mastics",WEILBURGER ASIA LIMITED,Hong Kong,"2,00,00,000.0000",262578.1498,Received in the company
270,Loadshare Networks Private Limited,KARNATAKA,Bengaluru,"Cargo handling incidental to land
transport",Filter Capital Fund I Ltd,Mauritius,"2,02,18,440.0000",258963.0943,"Received in the
company"
271,HARBINGER ANALYTICAL,RAJASTHAN,Jaipur,Publishing of journals and,RAJ K KHAWARE,U.S.A,"2,00,78,379.7000",257169.1651,Received in the
,CONSULTING PRIVATE LIMITED,,,periodicals,,,,,company
272,Fitshit Health Soultions Private Limited,MAHARASHTRA,Thane,Manufacture of other bakery products n.e.c.,SCI Venture Investments VII,Mauritius,"2,00,01,617.8200",256185.9788,Received in the company
273,PATHPARTNER INTERIOR SENSING PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing","Lytx, Inc.",U.S.A,"1,91,28,330.5100",247393.9949,Received in the Company
274,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",KARNATAKA,Bengaluru,"Manufacture of other fabricated metal products
n.e.c.",D1 Capital Partners Master LP,Cayman Islands,"1,87,56,436.5000",246251.5197,Received in the company
275,Immersive Gamitronics Studios Pvt Ltd,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,BIG VIKING GAMES INC,Canada,"1,79,52,262.6600",235693.5957,Received in the company
276,Malladi Drugs & Pharmaceuticals Limited,TAMIL NADU,Chennai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",Vacca Investments,Mauritius,"1,80,48,000.0000",233421.6683,Received in the Company
277,Malladi Drugs & Pharmaceuticals Limited,TAMIL NADU,Chennai,"MANUFACTURE OF MEDICINAL
SUBSTANCES USED IN THE",Vacca Investments,Mauritius,"1,80,48,000.0000",233421.6683,Received in the Company
,,,,"MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",,,,,
278,AUTOLYTICS TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities
n.e.c.",1 DIGI INVESTMENT MANAGEMENT DMCC,UAE,"1,75,00,158.0000",229757.9555,Received in the company
279,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,"LIGHTROCK GROWTH FUND I S.A., SICAV-RAIF FOR THE ACCOUNT OF ITS SUB-FUND LIGHTROCK GLOBAL FUND",Luxembourg,"1,76,48,225.9100",228251.2375,Received in the Company
280,"SmartShift Logistics
Solutions Private Limited",MAHARASHTRA,Mumbai,Motorised road freight transport,SEQUOIA CAPITAL INDIA INVESTMENTS IV,Mauritius,"1,76,48,225.9100",228251.2375,"Received in
the Company"
281,Duroflex Private Limited,KERALA,Alappuzha,Manufacture of mattresses and pillows,"Norwest Capital,LLC",U.S.A,"1,74,61,253.8000",225833.0559,Received in the Company
282,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,"1,71,61,119.3000",225306.7477,Received in the company
283,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",Think India Opportunities Master Fund LP,Cayman Islands,"1,69,12,195.6300",222038.6519,Received in the company
284,Itilite Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c","VY Dharana EM Technology Fund, LP",UAE,"1,73,16,654.0000",221796.2564,Received in the company
285,AMICA FINANCIAL TECHNOLOGIES,MAHARASHTRA,Mumbai,Other information technology and,OLEG WLADIMIR NICOLAS TSCHELZOFF,United Kingdom,"1,67,37,252.0000",219741.8332,Received in the
,PRIVATE LIMITED,,,computer service activities n.e.c,,,,,company
286,EPIFI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Multiple Buyers,Singapore,"1,68,63,032.5000",218096.0317,Received in the Company
287,Malladi Drugs & Pharmaceuticals Limited,TAMIL NADU,Chennai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",Vacca Investments,Mauritius,"1,68,42,453.7600",217829.879,Received in the Company
288,ROOTER SPORTS TECHNOLOGIES PRIVATE LIMITED,DELHI,South Delhi,Other information service activities n.e.c.,LIGHTBOX VENTURES III,Mauritius,"1,65,60,268.3200",217418.2308,Received in the company
289,FARMART SERVICE PRIVATE LIMITED,UTTAR PRADESH,Lucknow,"Other supporting activities including agricultural gardening (excluding parks and gardening
activities), n.e.c.","Matrix Partners India Investments III, LLC",Mauritius,"1,67,12,430.0000",216148.2321,Received in the Company
290,Pepper Content Private Limited,DELHI,North West Delhi,"Other professional, scientific and technical activities n.e.c.",BVP India Holdings,Mauritius,"1,63,77,675.2000",215020.9826,Received in the company
291,ARANCA (MUMBAI) PRIVATE LIMITED,MAHARASHTRA,Mumbai,Management consultancy activities,Greenwood Investments (Mauritius) Limited,Mauritius,"1,61,86,500.0000",212511.0611,Received in the company
292,VOGO AUTOMOTIVE,TAMIL NADU,Chennai,Renting and leasing,CHALO MOBILITY PTE.LTD,Singapore,"1,59,51,246.8500",209422.4443,Received in
,PRIVATE LIMITED,,,of motor vehicles,,,,,the company
293,Duroflex Private Limited,KERALA,Alappuzha,Manufacture of mattresses and pillows,"NORWEST CAPITAL, LLC",U.S.A,"1,58,74,932.4800",208420.52,Received in the company
294,Loadshare Networks Private Limited,KARNATAKA,Bengaluru,Cargo handling incidental to land transport,FILTER CAPITAL FUND I LTD,Mauritius,"1,60,55,820.0000",205647.1631,Received in the company
295,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and
maintenance to the clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"1,58,06,949.5000",202459.5643,Received in the company
296,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and
maintenance to the clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"1,54,77,638.0500",200178.1968,Received in the Company
297,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and maintenance to the
clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"1,54,77,638.0500",200178.1968,Received in the Company
298,BEEJAPURI DAIRY PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of other dairy products
n.e.c.",ELEVATION CAPITAL VI LIMITED,Mauritius,"1,55,54,496.0000",199226.0735,"Received in the
company"
299,Freightbro Logistics Private Limited,TAMIL NADU,Kanchipuram,"Cargo handling
incidental to water transport",Tradeworks Investments l Pte Ltd,Singapore,"1,51,07,249.9800",198341.6874,"Received in
the company"
300,PHASORZ TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and maintenance to the
clients",ZENITH INVESTMENT HOLDINGS PTE. LTD,Singapore,"1,54,77,638.0500",198241.6567,Received in the company
301,IMMCO SOFTWARE SOLUTIONS PRIVATE LIMITED,KERALA,Ernakulam,Other information technology and computer service activities n.e.c,IMMCO INC,Georgia,"1,49,92,500.0000",193903.7213,Received in the Company
302,CORPONE STAFFING SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,Other information service activities n.e.c.,Natsoft Corporation,U.S.A,"1,48,20,000.0000",191672.713,Received in the Company
303,EPIFI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Multiple Buyers,Singapore,"1,42,50,450.0000",184306.5056,Received in the Company
304,PHASORZ,TAMIL NADU,Kanchipuram,Providing software,ZENITH INVESTMENT,Singapore,"1,41,60,392.2600",183141.7545,Received in
,TECHNOLOGIES PRIVATE LIMITED,,,support and maintenance to the clients,HOLDINGS PTE. LTD,,,,the Company
305,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,"LIGHTROCK GROWTH FUND I S.A., SICAV-RAIF FOR THE ACCOUNT OF ITS
SUB-FUND LIGHTROCK GLOBAL FUND",Luxembourg,"1,39,16,163.8000",182704.0272,Received in the company
306,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,SEQUOIA CAPITAL INDIA INVESTMENTS IV,Mauritius,"1,39,07,127.3300",182585.3882,Received in the company
307,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"1,38,32,100.0000",178895.8255,Received in the Company
308,Riversys Technologies Pvt. Ltd.,DELHI,North West Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing","Lightspeed India Partners III, LLC",Mauritius,"1,35,57,144.4800",173643.4702,Received in the company
309,TAPTAP MEALS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Courier activities,INCRIN LIMITED,Cyprus,"1,32,15,046.5200",170915.2375,Received in the Company
310,TAPTAP MEALS PRIVATE LIMITED,UTTAR PRADESH,Gautam Buddha Nagar,Courier activities,INCRIN LIMITED,Cyprus,"1,31,31,565.7300",168192.5457,Received in the company
311,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"1,29,68,820.0000",167730.696,Received in the Company
312,"KNOWLARITY COMMUNICATIONS
PRIVATE LIMITED",HARYANA,Gurgaon,"Other information service activities
n.e.c.",Gupshup Inc.,U.S.A,"1,27,16,134.2000",164462.6141,"Received in the
Company"
313,KETTO ONLINE VENTURES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",BEE ACCELERATE FUND 1 PTE. LTD,Singapore,"1,26,64,710.0000",163797.5253,Received in the Company
314,"FWCLOUD
TECHNOLOGIES PRIVATE LIMITED",KARNATAKA,Bengaluru,"Data processing
activities including report writing",Drone Base Inc,U.S.A,"1,24,31,493.5200",163211.9284,"Received in
the company"
315,WAYCOOL FOODS AND PRODUCTS PRIVATE LIMITED,TAMIL NADU,Chennai,Wholesale of fruits & vegetables,Huruma SV S. A. R. L,Luxembourg,"1,23,78,956.0000",162522.1682,Received in the company
316,"Tata 1MG Technologies Private Limited (formerly known as
1MG Technologies Private Limited)",DELHI,South West Delhi,Other information service activities n.e.c.,MARTIN JOHN WHITEHEAD,United Kingdom,"1,25,06,592.3000",161752.5288,Received in the Company
317,Nreach Online Services Private Limited,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Gift Management Asia PTE LTD.,Singapore,"1,24,65,200.9200",161217.1983,Received in the Company
318,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,"LIGHTROCK GROWTH FUND I S.A., SICAV-RAIF FOR THE ACCOUNT OF ITS SUB-FUND LIGHTROCK
GLOBAL FUND",Luxembourg,"1,16,38,981.1200",152807.1064,Received in the company
319,SmartShift Logistics Solutions Private Limited,MAHARASHTRA,Mumbai,Motorised road freight transport,SEQUOIA CAPITAL INDIA INVESTMENTS IV,Mauritius,"1,16,38,981.1200",152807.1064,Received in the company
