"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
109,,OFB TECH PRIVATE LIMITED,,DELHI,,South West Delhi,,Other non-specialised wholesale trade n.e.c.,,ALPHA WAVE VENTURES LP,,Cayman Islands,,"11,98,58,558.4000",,1590216.039,,Received in the company,
110,,JINDAL STAINLESS HISAR LIMITED,,HARYANA,,Hisar,,Manufacture of hot-rolled and cold-rolled products of steel,,JSL OVERSEAS LIMITED,,Mauritius,,"11,17,86,980.0200",,1492178.2336,,"Received in
the company",
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
111,,VERITAS FINANCE PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Other credit granting,,Evolvence India Fund III Ltd,,Mauritius,,"10,96,26,000.0000",,1471559.0665,,Received in the Company,
112,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"10,80,00,000.0000",,1441628.0786,,Received in the company,
113,,Sorting Hat Technologies Private Limited,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,Bhavin Mahendra Turakhia,,United Kingdom,,"10,70,92,360.0000",,1429512.5295,,Received in the company,
114,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"10,64,79,653.5000",,1421333.8731,,Received in the company,
115,,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"10,58,80,342.6900",,1413334.0278,,Received in the company,
116,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"10,43,53,540.7200",,1400784.476,,Received in the Company,
117,,"ZETWERK MANUFACTURING BUSINESSES PRIVATE
LIMITED",,KARNATAKA,,Bengaluru,,Manufacture of other fabricated metal products n.e.c.,,D1 Capital Partners Master LP,,Cayman Islands,,"10,22,77,120.0000",,1372911.7475,,Received in the Company,
118,,TVS Supply Chain Solutions Limited,,TAMIL NADU,,Madurai,,Motorised road freight transport,,"EXOR SPECIAL OPPORTUNITIES MASTER
FUND",,Ireland,,"10,26,96,520.3300",,1362519.7563,,"Received in the
company",
119,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG Jokaland Holdings LLC,,U.S.A,,"10,12,44,000.0000",,1351446.2333,,"Received in the
company",
120,,"SCHOLLE IPN INDIA PACKAGING PRIVATE
LIMITED",,MAHARASHTRA,,Thane,,Manufacture of other plastics products n.e.c.,,Scholle IPN PTY LTD,,Australia,,"9,83,77,935.0000",,1305223.1915,,"Received in the
company",
121,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,"9,57,27,478.9000",,1284992.9715,,Received in the Company,
122,,Duroflex Private Limited,,KERALA,,Alappuzha,,Manufacture of mattresses and pillows,,"Norwest Capital,LLC",,U.S.A,,"9,31,04,546.1800",,1249784.1668,,Received in the Company,
123,,"CLEAN MAX ENVIRO ENERGY SOLUTIONS
PRIVATE LIMITED",,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"9,11,69,508.7700",,1216967.8126,,"Received in the
company",
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
124,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"8,43,70,000.0000",,1132536.4279,,Received in the Company,
125,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"8,09,49,640.2000",,1086623.4011,,Received in the Company,
126,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"7,70,20,908.0000",,1028106.515,,Received in the company,
127,,AEQUS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews, he",,Aequs Manufacturing Investments Private Limited,,Mauritius,,"7,62,90,300.0000",,1024078.9836,,Received in the Company,
128,,ReNew Power Private Limited,,DELHI,,South West Delhi,,Electric power generation using other non conventional sources,,RENEW ENERGY GLOBAL PLC,,United Kingdom,,"7,66,47,231.0300",,1023118.5223,,Received in the company,
129,,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"7,65,55,681.9000",,1021896.4871,,Received in the company,
130,,Avendus Capital Private Limited,,MAHARASHTRA,,Mumbai,,Activities auxiliary to financial service activities n.e.c.,,Puneet Shivam,,U.S.A,,"7,70,00,000.0000",,1021592.756,,"Received in
the company",
131,,AEQUS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",,Aequs Manufacturing Investments Private Limited,,Mauritius,,"7,24,30,800.0000",,966835.88,,Received in the company,
132,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"7,20,00,000.0000",,961085.3858,,Received in the company,
133,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"7,20,00,000.0000",,961085.3858,,Received in the company,
134,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"7,20,00,000.0000",,961085.3858,,"Received in
the company",
135,,ANI Technologies Private,,KARNATAKA,,Bengaluru,,Other information technology,,FORT CANNING,,Singapore,,"7,08,87,600.0000",,951556.1134,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,Limited,,,,,,and computer service activities n.e.c,,INVESTMENTS PTE. LTD.,,,,,,,,the Company,
136,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"6,96,05,165.6300",,934341.4205,,Received in the Company,
137,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"6,96,05,165.6300",,934341.4205,,Received in the Company,
138,,PRUDENT ARC LIMITED,,DELHI,,North West Delhi,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,CALLISTO OPPORTUNITY LTD,,Mauritius,,"6,60,00,000.0000",,875650.9337,,Received in the company,
139,,ALLURE GIFT WRAPS PRIVATE LIMITED,,GUJARAT,,Valsad,,Manufacture of other paper products n.e.c.,,BOMPA HOLDINGS LLC,,U.S.A,,"6,49,96,125.5900",,862332.0918,,Received in the company,
140,,InnoEye Software Technologies Private Limited,,MADHYA PRADESH,,Indore,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,Rakuten Symphony Singapore PTE LTD,,Singapore,,"6,26,38,965.0000",,836130.47,,Received in the company,
141,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"6,00,00,000.0000",,800904.4881,,Received in the company,
142,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"5,83,98,114.5500",,779521.8674,,Received in the company,
143,,ORANGE TREE TECHNOLOGIES PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other professional, scientific and technical activities n.e.c.",,Momentx Corporation,,U.S.A,,"5,79,45,150.0000",,773475.5117,,Received in the company,
144,,ORANGE TREE TECHNOLOGIES PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other professional, scientific and technical activities n.e.c.",,Momentx Corporation,,U.S.A,,"5,79,45,150.0000",,773475.5117,,Received in the company,
145,,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,,DELHI,,East Delhi,,Other business support service activities n.e.c,,VYC23 LIMITED,,British Virginia,,"5,73,55,560.0000",,769909.4588,,Received in the Company,
146,,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,,DELHI,,East Delhi,,Other business support service activities n.e.c,,VYC23 LIMITED,,British Virginia,,"5,73,55,560.0000",,769909.4588,,Received in the Company,
147,,VAY NETWORK SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Management consultancy activities,,Jungle Ventures II Investment Holding Pte Ltd,,Singapore,,"5,80,06,056.2800",,769591.7779,,"Received in
the company",
148,,Mahindra CIE Automotive,,MAHARASHTRA,,Mumbai,,"Forging, pressing, stamping",,Participaciones,,Spain,,"5,78,99,840.7700",,768182.5702,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,Limited,,,,,,and roll-forming of metal; powder metallurgy,,"Internacionales Autometal, DOS S.L.",,,,,,,,the company,
149,,LEIXIR RESOURCES PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces, dental instruments, artific",,Leixir Intermediate Corp.,,U.S.A,,"5,62,52,898.0500",,750886.642,,Received in the company,
150,,FABINDIA LIMITED,,DELHI,,South West Delhi,,"Manufacture of all types of textile garments and clothing
accessories",,Holly B Lev,,U.S.A,,"5,55,93,146.9000",,746251.7957,,"Received in the
Company",
151,,LEIXIR RESOURCES PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Manufacture of dental fillings and cements (except denture adhesive or cement), dental wax and other dental plaster preparations; manufacture of dental laboratory furnaces, dental instruments, artific",,Leixir Intermediate Corp,,U.S.A,,"5,52,14,238.3400",,737022.1883,,Received in the company,
152,,PENNYWISE SOLUTIONS PRIVATE LIMITED,,TELANGANA,,Hyderabad,,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",,OGILVY SINGAPORE PTE LTD,,Singapore,,"5,42,87,325.0000",,720253.7398,,Received in the company,
153,,PRAGNYA SOUTH CITY PROJECTS PVT LTD,,TAMIL NADU,,Kanchipuram,,"Construction of buildings carried out on own-account
basis or on a fee or contract basis",,Pragnya South City Opportunity Fund,,Mauritius,,"5,00,00,000.0700",,667420.4077,,Received in the company,
154,,"VARANA INDUSTRIAL LOGISTICS AND WAREHOUSING PRIVATE
LIMITED",,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR Chennai 2 Pte. Ltd.,,Singapore,,"4,77,77,697.6000",,641341.5073,,Greenfield,
155,,Globela Pharma Private Limited,,GUJARAT,,Surat,,Manufacture of allopathic pharmaceutical preparations,,SOMERSET INDUS HEALTHCARE FUND II,,Mauritius,,"4,76,06,629.4600",,639045.1828,,Received in the Company,
156,,VAY NETWORK SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Management consultancy activities,,Bruno Eduard Raschle,,Switzerland,,"4,75,59,181.6700",,638408.2698,,Received in the Company,
157,,ABC Solar (India) Private Limited,,GUJARAT,,Vadodara,,Manufacture of other electrical equipment,,BIF IV CROWN HOLDING (DIFC) LIMITED,,UAE,,"4,73,98,827.0000",,632698.8879,,Received in the company,
158,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"4,68,77,996.8800",,629264.4202,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
159,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,"4,65,25,850.0000",,624537.3944,,Received in the Company,
160,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"4,56,65,599.9800",,612989.8717,,Received in the Company,
161,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"4,41,10,239.0300",,592111.5627,,Received in the Company,
162,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,"4,36,13,404.5600",,585442.3303,,Received in the Company,
163,,EXXAT SYSTEMS PRIVATE LIMITED,,GUJARAT,,Vadodara,,Providing software support and maintenance to the clients,,EXXAT INC,,U.S.A,,"4,35,82,053.0000",,581751.0308,,Received in the company,
164,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"4,21,84,915.6300",,566267.0814,,Received in the Company,
165,,Simplilearn Solutions Private Limited,,KARNATAKA,,Bengaluru,,OTHER EDUCATIONAL SERVICES N.E.C.,,BCP TOPCO XI PTE LTD,,Singapore,,"4,10,75,989.2500",,544973.1567,,Received in the company,
166,,ASG Hospital Private Limited,,RAJASTHAN,,Jodhpur,,Hospital activities,,BRITTEN HOLDINGS PTE. LTD,,Singapore,,"4,01,17,000.0000",,538508.5205,,Received in the Company,
167,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"3,97,85,179.7200",,534054.3478,,Received in the Company,
168,,INDIA SHELTER FINANCE CORPORATION LIMITED,,HARYANA,,Gurgaon,,Other credit granting,,Starrock,,Mauritius,,"3,92,00,280.0000",,523261.3365,,"Received in the
company",
169,,KURLON ENTERPRISE LIMITED,,MAHARASHTRA,,Mumbai,,Manufacture of mattresses and pillows,,AHMED ALI HUSAIN NALWALA,,UAE,,"3,82,84,429.3000",,507936.307,,Received in the company,
170,,Agillos E-Commerce Private Limited,,KARNATAKA,,Bengaluru,,"Publishing of operating
business and other applications",,Season Two Ventures Management LLC,,U.S.A,,"3,75,03,034.0000",,500605.8042,,"Received in
the company",
171,,Fourth Partner Energy Private Limited,,TELANGANA,,K.V.Rangareddy,,Electric power generation using solar energy,,THE RISE FUND SF PTE. LTD,,Singapore,,"3,67,44,991.1400",,493244.5301,,Received in the Company,
172,,Fourth Partner Energy Private Limited,,TELANGANA,,K.V.Rangareddy,,Electric power generation using solar energy,,NORFUND,,Norway,,"3,67,44,991.1400",,493244.5301,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
173,,GEEBEE EDUCATION PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,EDUCATIONAL SUPPORT SERVICES,,Leap Technologies Private Limited,,Singapore,,"3,60,00,000.0000",,480542.6929,,Received in the company,
174,,PAN ASIA LOGISTICS INDIA PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Motorised road freight transport,,Pan Asia (S) Pte. Ltd.,,Singapore,,"3,55,47,030.0000",,474496.2644,,Received in the company,
175,,Ampa Orthodontics Private Limited,,MAHARASHTRA,,Mumbai,,Dental practice activities,,THINK INVESTMENTS PCC,,Mauritius,,"3,49,99,333.4100",,467185.3868,,Received in the company,
176,,INFOCON SERVICES PRIVATE LIMITED,,DELHI,,NEW DELHI,,Architectural and engineering activities and related technical consultancy,,AMBERG ENGINEERING AG,,Switzerland,,"3,51,00,000.0000",,465687.0875,,Greenfield,
177,,Homevista Decor and Furnishings Private Limited,,KARNATAKA,,Bengaluru,,Activities of interior decorators,,Evolvence India Fund III Ltd,,Mauritius,,"3,45,42,080.2100",,458284.921,,Received in the company,
178,,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"3,42,37,782.6000",,457019.8958,,Received in the company,
179,,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,,DELHI,,East Delhi,,Other business support service activities n.e.c,,VYC23 LIMITED,,British Virginia,,"3,37,22,945.0000",,447417.0951,,Received in the company,
180,,GLITCH MEDIA PRIVATE LTD,,MAHARASHTRA,,Mumbai,,Advertising,,RUSSELL SQUARE HOLDING B.V.,,Netherland,,"3,28,30,860.0000",,438239.7187,,Received in the company,
181,,GLITCH MEDIA PRIVATE LTD,,MAHARASHTRA,,Mumbai,,Advertising,,RUSSELL SQUARE HOLDING B.V.,,Netherland,,"3,28,30,860.0000",,438239.7187,,Received in the company,
182,,"WAYCOOL FOODS AND PRODUCTS PRIVATE
LIMITED",,TAMIL NADU,,Chennai,,Wholesale of fruits & vegetables,,Lightbox Ventures III,,Mauritius,,"3,27,15,835.8900",,434055.337,,"Received in the
company",
183,,Hero FinCorp Limited,,DELHI,,South West Delhi,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,AHMED ALI HUSAIN NALWALA,,UAE,,"3,10,96,000.0000",,412564.2642,,Received in the company,
184,,ADGLOBAL360 INDIA PRIVATE LIMITED,,DELHI,,North West Delhi,,"Other data processing, hosting and related activities n.e.c.",,Hakuhodo Investment Singapore Pte. Ltd,,Singapore,,"3,02,17,872.0100",,405628.0766,,Received in the Company,
185,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,"3,01,54,932.7200",,404783.2142,,"Received in the
Company",
186,,RELISYS MEDICAL DEVICES LIMITED,,TELANGANA,,K.V.Rangareddy,,Manufacture of other medical and dental instruments n.e.c.,,SG JOKALAND HOLDINGS LLC,,U.S.A,,"2,95,29,415.6300",,396386.6172,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,,,,,,,,,,,Company,
187,,Tenerity India Private Limited,,MAHARASHTRA,,Pune,,"Other data processing, hosting and related activities n.e.c.",,"CxLoyalty Group, Inc. (Formerly known as Affinion Group Inc.)",,U.S.A,,"2,88,91,422.1600",,383315.1635,,Received in the company,
188,,PAN ASIA LOGISTICS INDIA PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Motorised road freight transport,,Pan Asia (S) Pte. Ltd.,,Singapore,,"2,83,50,000.0000",,378427.3706,,Received in the company,
189,,Ivypods Technology Private Limited,,HARYANA,,Gurgaon,,OTHER EDUCATIONAL SERVICES N.E.C.,,Elevation Capital VII Limited,,Mauritius,,"2,79,99,244.0000",,373745.3364,,Received in the company,
190,,GLITCH MEDIA PRIVATE LTD,,MAHARASHTRA,,Mumbai,,Advertising,,RUSSELL SQUARE HOLDING B.V.,,Netherland,,"2,79,86,961.6000",,373581.3859,,Received in the company,
191,,AAB INDUSTRIAL LOGISTICS AND WAREHOUSING PRIVATE LIMITED,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR India Fund Spv 12 Pte. Ltd.,,Singapore,,"2,72,86,006.9500",,366272.3343,,Greenfield,
192,,Zomato Limited,,DELHI,,South Delhi,,Other information service activities n.e.c.,,Multiple buyers,,U.S.A,,"2,73,21,385.0000",,364696.9978,,Received in the company,
193,,TARGETONE INNOVATIONS PRIVATE LIMITED,,DELHI,,West Delhi,,Maintenance and repair of motor vehicles,,SCI INVESTMENTS VI,,Mauritius,,"2,59,70,928.0000",,346670.5466,,Received in the company,
194,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"2,59,40,000.0000",,346257.707,,Received in the company,
195,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"2,44,37,000.0000",,328028.8336,,Received in the Company,
196,,SQUATS FITNESS PRIVATE LIMITED,,MADHYA PRADESH,,Raisen,,Operation of sports facilities,,SURGE VENTURES II,,Mauritius,,"2,45,00,432.0000",,327041.7658,,Received in the company,
197,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"2,43,83,803.6000",,325484.9624,,Received in the company,
198,,MEDDIFF TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Ramsoft Holdings Inc.,,Canada,,"2,43,60,462.0000",,323200.9287,,Received in the company,
199,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and
gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"2,39,95,000.0000",,322095.6689,,"Received in
the Company",
200,,PAN ASIA LOGISTICS INDIA,,TAMIL NADU,,Chennai,,Motorised road freight,,Pan Asia (S) Pte. Ltd.,,Singapore,,"2,38,50,000.0000",,318359.534,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,PRIVATE LIMITED,,,,,,transport,,,,,,,,,,the company,
201,,MEDDIFF TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Ramsoft Holdings Inc,,Canada,,"2,32,00,440.0000",,309688.942,,Received in the company,
202,,AMICA FINANCIAL TECHNOLOGIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,THE SARIN FAMILY TRUST,,U.S.A,,"2,20,18,348.0000",,292127.0755,,Received in the company,
203,,SUN Mobility EV Infra Private Limited,,DELHI,,South Delhi,,Activities of extraterritorial organizations and bodies,,EPIC Mobility Technologies Pte. Ltd.,,Singapore,,"2,19,70,000.0000",,291485.6214,,Received in the company,
204,,ReNew Power Private Limited,,DELHI,,South West Delhi,,"Electric power generation using other non conventional
sources",,RENEW ENERGY GLOBAL PLC,,United Kingdom,,"2,15,14,622.5000",,287185.962,,"Received in the
company",
205,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"2,02,14,730.0000",,271351.4058,,Received in the Company,
206,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,"2,01,97,893.1200",,271125.3968,,Received in the Company,
207,,QUICKO TECHNOSOFT LABS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Eight Roads Ventures India III LP,,Bermuda,,"2,01,56,220.0000",,270565.9997,,Received in the Company,
208,,Ortiv-Q3 Research Private Limited,,GUJARAT,,Ahmedabad,,Technical testing and analysis,,Sotax AG,,Switzerland,,"1,94,50,000.0000",,258051.6767,,Received in the company,
209,,"URBANCLAP TECHNOLOGIES INDIA
PRIVATE LIMITED",,DELHI,,East Delhi,,Other business support service activities n.e.c,,RA Hospitality Holdings Co. Pte. Ltd.,,Singapore,,"1,85,87,450.0000",,249507.695,,"Received in the
Company",
210,,SiliconVeins Private Limited,,MAHARASHTRA,,Mumbai,,"Other data processing, hosting and related activities n.e.c.",,"Kyte Technologies, INC",,U.S.A,,"1,84,00,000.0000",,245610.7097,,Received in the company,
211,,PENNYWISE SOLUTIONS PRIVATE LIMITED,,TELANGANA,,Hyderabad,,"Writing, modifying, testing of computer program to meet
the needs of a particular client excluding web-page designing",,OGILVY SINGAPORE PTE LTD,,Singapore,,"1,83,08,667.0000",,242909.1114,,Received in the company,
212,,"ZETWERK MANUFACTURING
BUSINESSES PRIVATE LIMITED",,KARNATAKA,,Bengaluru,,Manufacture of other fabricated metal products n.e.c.,,Avenir Zetwerk Investors LLC,,U.S.A,,"1,81,78,160.0000",,242649.4988,,Received in the company,
213,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and",,Trans Asia Petroleum Inc.,,Mauritius,,"1,80,30,840.0000",,242036.0688,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,gaseous fuels and related products,,,,,,,,,,the Company,
214,,QUICKO TECHNOSOFT LABS PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Eight Roads Ventures India III LP,,Bermuda,,"1,79,96,625.0000",,240226.2956,,Received in the company,
215,,Coastal Aquaculture Research Institute Private Limited,,TAMIL NADU,,Chennai,,"Other freshwater aquaculture activities , n.e.c",,REBRIGHT PARTNERS IV INVESTMENT PARTNERSHIP,,Japan,,"1,77,37,660.0000",,236769.5251,,Received in the company,
216,,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"1,76,49,576.9300",,235593.7563,,Received in the company,
217,,"CLEAN MAX ENVIRO ENERGY SOLUTIONS
PRIVATE LIMITED",,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"1,76,49,576.9300",,235593.7563,,"Received in the
company",
