Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JULY 2016 TO SEPTEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
155,"INDIA MORTGAGE
GURANATEE CORPORATION PRI",U.S.A,INTERNATIONAL FINANCE CORPORATION,NEW DELHI,Other credit granting,19.50,0.29,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
156,IVYCAP VENTURES TRUST,U.S.A,ANIL A SHAH,MUMBAI,Management of other investment funds,0.67,0.01,
157,IVYCAP VENTURES TRUST,U.S.A,ANIL A SHAH,MUMBAI,Management of other investment funds,0.65,0.01,
158,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,AS PER LIST,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.04,0.00,
159,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.01,0.00,
160,STAR INDIA PVT LTD,British Virginia,STAR TELEVISION TECHNICAL SERVICES LTD,MUMBAI,Radio broadcasting,125.84,1.89,
161,STAR INDIA PVT LTD,British Virginia,STAR ENTERTAINMENT HOLDINGS LTD,MUMBAI,Radio broadcasting,"1,746.70",26.17,
162,STAR INDIA PVT LTD,British Virginia,STAR ENTERTAINMENT HOLDINGS LTD,MUMBAI,Radio broadcasting,"9,338.74",139.51,
163,STAR INDIA PVT LTD,British Virginia,STAR TELEVISION TECHNICAL SERVICES LTD,MUMBAI,Radio broadcasting,673.29,10.06,
164,STAR INDIA PVT LTD,Bermuda,STARTV.COM,MUMBAI,Radio broadcasting,"1,577.13",23.56,
165,STAR INDIA PVT LTD,BELORUSSIA,STARTV.COM HOLDINGS LTD,MUMBAI,Radio broadcasting,295.10,4.42,
Grand Total,,,,,,"113,979.36","1,703.66",
